Common name,Scientific name,R. a. 1880's,R. a. modern
Alder Flycatcher,Empidonax alnorum,common,common
American Bittern,Botaurus lentiginosus,rare,uncommon
American Black Duck,Anas rubripes,common,common
American Crow,Corvus brachyrhynchos,common,common
American Goldfinch,Spinus tristis,common,common
American Redstart,Setophaga ruticilla,common,common
American Robin,Turdus migratorius,common,common
American Woodcock,Scolopax minor,common,rare
Bald Eagle,Haliaeetus leucocephalus,common,common
Bank Swallow,Riparia riparia,common,rare
Barn Swallow,Hirundo rustica,common,common
Barred Owl,Strix varia,uncommon,common
Bay-breasted Warbler,Setophaga castanea,common,uncommon
Belted Kingfisher,Megaceryle alcyon,common,common
Black Guillemot,Cepphus grylle,common,common
Black Scoter,Melanitta americana,rare,uncommon
Black-and-white Warbler,Mniotilta varia,common,common
Black-billed Cuckoo,Coccyzus erythropthalmus,common,rare
Black-capped Chickadee,Poecile atricapillus,common,common
Black-crowned Night-Heron,Nycticorax nycticorax,common,very rare
Black-legged Kittiwake,Rissa tridactyla,uncommon,very rare
Black-throated Blue Warbler,Setophaga caerulescens,very rare,common
Black-throated Green Warbler,Setophaga virens,common,common
Blackburnian Warbler,Setophaga fusca,common,common
Blue Jay,Cyanocitta cristata,rare,common
Blue-headed Vireo,Vireo solitarius,common,common
Bobolink,Dolichonyx oryzivorus,uncommon,uncommon
Bonaparte's Gull,Chroicocephalus philadelphia,uncommon,common
Boreal Chickadee,Poecile hudsonicus,rare,very rare
Broad-winged Hawk,Buteo platypterus,common,common
Brown Creeper,Certhia americana,rare,common
Canada Warbler,Cardellina canadensis,common,rare
Cedar Waxwing,Bombycilla cedrorum,common,common
Chestnut-sided Warbler,Setophaga pensylvanica,common,common
Chimney Swift,Chaetura pelagica,common,rare
Chipping Sparrow,Spizella passerina,common,common
Common Loon,Gavia immer,uncommon,common
Common Nighthawk,Chordeiles minor,common,common
Common Tern,Sterna hirundo,common,common
Common Yellowthroat,Geothlypis trichas,common,common
Dark-eyed Junco,Junco hyemalis,common,common
Downy Woodpecker,Dryobates pubescens,common,common
Eastern Bluebird,Sialia sialis,very rare,uncommon
Eastern Kingbird,Tyrannus tyrannus,uncommon,rare
Eastern Phoebe,Sayornis phoebe,rare,common
Golden-crowned Kinglet,Regulus satrapa,common,common
Great Blue Heron,Ardea herodias,common,common
Greater Yellowlegs,Tringa melanoleuca,uncommon,common
Hairy Woodpecker,Dryobates villosus,common,common
Hermit Thrush,Catharus guttatus,common,common
Herring Gull,Larus argentatus,common,common
Indigo Bunting,Passerina cyanea,rare,very rare
Leach's Storm-Petrel,Hydrobates leucorhous,rare,rare
Least Sandpiper,Calidris minutilla,common,common
Lesser Yellowlegs,Tringa flavipes,uncommon,common
Long-tailed Duck,Clangula hyemalis,very rare,very rare
Magnolia Warbler,Setophaga magnolia,common,common
Nashville Warbler,Leiothlypis ruficapilla,common,uncommon
Northern Flicker,Colaptes auratus,common,common
Northern Harrier,Circus hudsonius,rare,uncommon
Northern Parula,Setophaga americana,common,common
Northern Waterthrush,Parkesia noveboracensis,rare,rare
Osprey,Pandion haliaetus,common,common
Ovenbird,Seiurus aurocapilla,common,common
Pectoral Sandpiper,Calidris melanotos,very rare,very rare
Pied-billed Grebe,Podilymbus podiceps,rare,very rare
Pine Siskin,Spinus pinus,common,rare
Purple Finch,Haemorhous purpureus,common,common
Red Crossbill,Loxia curvirostra,rare,common
Red-breasted Nuthatch,Sitta canadensis,common,common
Red-eyed Vireo,Vireo olivaceus,common,common
Red-tailed Hawk,Buteo jamaicensis,very rare,uncommon
Red-winged Blackbird,Agelaius phoeniceus,uncommon,common
Ring-necked Duck,Aythya collaris,rare,very rare
Ruby-throated Hummingbird,Archilochus colubris,common,common
Ruddy Turnstone,Arenaria interpres,uncommon,rare
Ruffed Grouse,Bonasa umbellus,common,rare
Savannah Sparrow,Passerculus sandwichensis,common,common
Semipalmated Sandpiper,Calidris pusilla,common,common
Sharp-shinned Hawk,Accipiter striatus,uncommon,common
Short-billed Dowitcher,Limnodromus griseus,uncommon,rare
Solitary Sandpiper,Tringa solitaria,rare,common
Song Sparrow,Melospiza melodia,common,common
Spotted Sandpiper,Actitis macularius,common,common
Swainson's Thrush,Catharus ustulatus,common,common
Tree Swallow,Tachycineta bicolor,common,common
Vesper Sparrow,Pooecetes gramineus,rare,rare
White-throated Sparrow,Zonotrichia albicollis,common,common
White-winged Crossbill,Loxia leucoptera,rare,uncommon
Wilson's Warbler,Cardellina pusilla,rare,rare
Winter Wren,Troglodytes hiemalis,common,common
Yellow Warbler,Setophaga petechia,common,common
Yellow-bellied Flycatcher,Empidonax flaviventris,common,rare
Yellow-rumped Warbler,Setophaga coronata,common,common
Eastern Whip-poor-will,Antrostomus vociferus,rare,very rare
Passenger Pigeon,Ectopistes migratorius,rare,extinct
Cliff Swallow,Petrochelidon pyrrhonota,common,very rare
Purple Martin,Progne subis,rare,very rare
