common.name,scientific.name,frequency.1880,frequency.current,frequency.changes
Alder Flycatcher,Empidonax alnorum,common,common,stable
American Bittern,Botaurus lentiginosus,rare,uncommon,increased
American Black Duck,Anas rubripes,common,common,stable
American Crow,Corvus brachyrhynchos,common,common,stable
American Goldfinch,Spinus tristis,common,common,stable
American Redstart,Setophaga ruticilla,common,common,stable
American Robin,Turdus migratorius,common,common,stable
American Woodcock,Scolopax minor,common,rare,decreased
Bald Eagle,Haliaeetus leucocephalus,common,common,stable
Bank Swallow,Riparia riparia,common,rare,decreased
Barn Swallow,Hirundo rustica,common,common,stable
Barred Owl,Strix varia,uncommon,common,increased
Bay-breasted Warbler,Setophaga castanea,common,uncommon,decreased
Belted Kingfisher,Megaceryle alcyon,common,common,stable
Black Guillemot,Cepphus grylle,common,common,stable
Black Scoter,Melanitta americana,rare,uncommon,increased
Black-and-white Warbler,Mniotilta varia,common,common,stable
Black-billed Cuckoo,Coccyzus erythropthalmus,common,rare,decreased
Black-capped Chickadee,Poecile atricapillus,common,common,stable
Black-crowned Night-Heron,Nycticorax nycticorax,common,migrant only,decreased
Black-legged Kittiwake,Rissa tridactyla,uncommon,migrant only,decreased
Black-throated Blue Warbler,Setophaga caerulescens,rare,common,increased
Black-throated Green Warbler,Setophaga virens,common,common,stable
Blackburnian Warbler,Setophaga fusca,common,common,stable
Blue Jay,Cyanocitta cristata,rare,common,increased
Blue-headed Vireo,Vireo solitarius,common,common,stable
Bobolink,Dolichonyx oryzivorus,uncommon,uncommon,stable
Bonaparte's Gull,Chroicocephalus philadelphia,uncommon,common,increased
Boreal Chickadee,Poecile hudsonicus,rare,migrant only,decreased
Broad-winged Hawk,Buteo platypterus,common,common,stable
Brown Creeper,Certhia americana,rare,common,increased
Canada Warbler,Cardellina canadensis,common,rare,decreased
Cedar Waxwing,Bombycilla cedrorum,common,common,stable
Chestnut-sided Warbler,Setophaga pensylvanica,common,common,stable
Chimney Swift,Chaetura pelagica,common,rare,decreased
Chipping Sparrow,Spizella passerina,common,common,stable
Common Loon,Gavia immer,uncommon,common,increased
Common Nighthawk,Chordeiles minor,common,common,stable
Common Tern,Sterna hirundo,common,common,stable
Common Yellowthroat,Geothlypis trichas,common,common,stable
Dark-eyed Junco,Junco hyemalis,common,common,stable
Downy Woodpecker,Dryobates pubescens,common,common,stable
Eastern Bluebird,Sialia sialis,rare,uncommon,increased
Eastern Kingbird,Tyrannus tyrannus,uncommon,rare,decreased
Eastern Phoebe,Sayornis phoebe,rare,common,increased
Golden-crowned Kinglet,Regulus satrapa,common,common,stable
Great Blue Heron,Ardea herodias,common,common,stable
Hairy Woodpecker,Dryobates villosus,common,common,stable
Hermit Thrush,Catharus guttatus,common,common,stable
Herring Gull,Larus argentatus,common,common,stable
Indigo Bunting,Passerina cyanea,rare,migrant only,decreased
Leach's Storm-Petrel,Hydrobates leucorhous,rare,rare,stable
Magnolia Warbler,Setophaga magnolia,common,common,stable
Nashville Warbler,Leiothlypis ruficapilla,common,uncommon,decreased
Northern Flicker,Colaptes auratus,common,common,stable
Northern Harrier,Circus hudsonius,rare,uncommon,increased
Northern Parula,Setophaga americana,common,common,stable
Northern Waterthrush,Parkesia noveboracensis,rare,rare,stable
Osprey,Pandion haliaetus,common,common,stable
Ovenbird,Seiurus aurocapilla,common,common,stable
Pied-billed Grebe,Podilymbus podiceps,rare,migrant only,decreased
Pine Siskin,Spinus pinus,common,rare,decreased
Purple Finch,Haemorhous purpureus,common,common,stable
Red Crossbill,Loxia curvirostra,rare,common,increased
Red-breasted Nuthatch,Sitta canadensis,common,common,stable
Red-eyed Vireo,Vireo olivaceus,common,common,stable
Red-tailed Hawk,Buteo jamaicensis,rare,uncommon,increased
Red-winged Blackbird,Agelaius phoeniceus,uncommon,common,increased
Ring-necked Duck,Aythya collaris,rare,migrant only,decreased
Ruby-throated Hummingbird,Archilochus colubris,common,common,stable
Ruffed Grouse,Bonasa umbellus,common,rare,decreased
Savannah Sparrow,Passerculus sandwichensis,common,common,stable
Sharp-shinned Hawk,Accipiter striatus,uncommon,common,increased
Song Sparrow,Melospiza melodia,common,common,stable
Spotted Sandpiper,Actitis macularius,common,common,stable
Swainson's Thrush,Catharus ustulatus,common,common,stable
Tree Swallow,Tachycineta bicolor,common,common,stable
Vesper Sparrow,Pooecetes gramineus,rare,rare,stable
White-throated Sparrow,Zonotrichia albicollis,common,common,stable
White-winged Crossbill,Loxia leucoptera,rare,uncommon,increased
Wilson's Warbler,Cardellina pusilla,rare,rare,stable
Winter Wren,Troglodytes hiemalis,common,common,stable
Yellow Warbler,Setophaga petechia,common,common,stable
Yellow-bellied Flycatcher,Empidonax flaviventris,common,rare,decreased
Yellow-rumped Warbler,Setophaga coronata,common,common,stable
Eastern Whip-poor-will,Antrostomus vociferus,rare,not present,decreased
Passenger Pigeon,Ectopistes migratorius,rare,extinct,decreased
Cliff Swallow,Petrochelidon pyrrhonota,common,not present,decreased
Purple Martin,Progne subis,rare,not present,decreased
