Order,Super family,Family,Scientific name,Common name
Lepidoptera,Tortricoidea,Tortricidae,Acleris forsskaleana,Maple Leaftier Moth
Lepidoptera,Noctuoidea,Noctuidae,Acronicta fallax,Green Marvel
Lepidoptera,Noctuoidea,Noctuidae,Acronicta funeralis,Funerary Dagger
Lepidoptera,Noctuoidea,Noctuidae,Acronicta insita,Large Gray Dagger
Lepidoptera,Noctuoidea,Noctuidae,Acronicta oblinita,Smeared Dagger
Lepidoptera,Pyraloidea,Crambidae,Anania hortulata,Small Magpie
Lepidoptera,Papilionoidea,Hesperiidae,Anatrytone logan,Delaware Skipper
Lepidoptera,Noctuoidea,Erebidae,Apantesis figurata,Figured Tiger Moth
Lepidoptera,Noctuoidea,Erebidae,Apantesis virgo,Virgin Tiger Moth
Lepidoptera,Zygaenoidea,Limacodidae,Apoda biguttata,Shagreened Slug Moth
Lepidoptera,Tortricoidea,Tortricidae,Archips dissitana,Boldly-marked Archips Moth
Lepidoptera,Noctuoidea,Erebidae,Arctia parthenos,St. Lawrence Tiger Moth
Lepidoptera,Gelechioidea,Gelechiidae,Arogalea cristifasciella,White Stripe-backed Moth
Lepidoptera,Noctuoidea,Nolidae,Baileya doubledayi,Doubleday's Baileya Moth
Lepidoptera,Noctuoidea,Noctuidae,Bellura obliqua,Cattail Borer Moth
Lepidoptera,Bombycoidea,Saturniidae,Callosamia promethea,Promethea Silkmoth
Lepidoptera,Noctuoidea,Noctuidae,Calophasia lunula,Toadflax Brocade Moth
Lepidoptera,Papilionoidea,Hesperiidae,Carterocephalus mandan,Arctic Skipper
Lepidoptera,Papilionoidea,Lycaenidae,Celastrina lucia,Northern Azure
Lepidoptera,Tortricoidea,Tortricidae,Cenopis reticulatana,Reticulated Fruitworm Moth
Lepidoptera,Noctuoidea,Erebidae,Chytolita morbidalis,Morbid Owlet
Lepidoptera,Papilionoidea,Nymphalidae,Coenonympha california,Common Ringlet
Lepidoptera,Noctuoidea,Erebidae,Cycnia tenera,Delicate Cycnia Moth
Lepidoptera,Noctuoidea,Notodontidae,Datana contracta,Contracted Datana Moth
Lepidoptera,Pyraloidea,Crambidae,Donacaula longirostrallus,Long-beaked Donacaula Moth
Lepidoptera,Noctuoidea,Erebidae,Doryodes spadaria,Dull Doryodes Moth
Lepidoptera,Noctuoidea,Noctuidae,Elaphria alapallida,Pale-winged Midget
Lepidoptera,Pyraloidea,Crambidae,Eoparargyractis plevie,
Lepidoptera,Papilionoidea,Hesperiidae,Epargyreus clarus,Silver-spotted Skipper
Lepidoptera,Papilionoidea,Hesperiidae,Erynnis juvenalis,Juvenal's Duskywing
Lepidoptera,Noctuoidea,Erebidae,Euchaetes egle,Milkweed Tussock Moth
Lepidoptera,Zygaenoidea,Limacodidae,Euclea delphinii,Spiny Oak-slug Moth
Lepidoptera,Tortricoidea,Tortricidae,Eucosma ochroterminana,Buff-tipped Eucosma Moth
Lepidoptera,Tortricoidea,Tortricidae,Eucosma parmatana,Aster Eucosma Moth
Lepidoptera,Noctuoidea,Noctuidae,Eudryas grata,Beautiful Wood-nymph
Lepidoptera,Noctuoidea,Noctuidae,Eupsilia vinulenta,Straight-toothed Sallow
Lepidoptera,Noctuoidea,Noctuidae,Feltia herilis,Master's Dart
Lepidoptera,Pterophoroidea,Pterophoridae,Geina buscki,Buck's Plume Moth
Lepidoptera,Gelechioidea,Autostichidae,Gerdana caritella,
Lepidoptera,Papilionoidea,Lycaenidae,Glaucopsyche lygdamus,Silvery Blue
Lepidoptera,Tortricoidea,Tortricidae,Gymnandrosoma punctidiscanum,Dotted Gymnandrosoma Moth
Lepidoptera,Noctuoidea,Erebidae,Haploa clymene,Clymene Moth
Lepidoptera,Bombycoidea,Sphingidae,Hemaris aethra,Diervilla Clearwing
Lepidoptera,Noctuoidea,Erebidae,Hypena manalis,Flowing-line Snout
Lepidoptera,Pyraloidea,Pyralidae,Hypsopygia olinalis,Yellow-fringed Dolichomia Moth
Lepidoptera,Geometroidea,Geometridae,Idaea dimidiata,Single-dotted Wave
Lepidoptera,Papilionoidea,Nymphalidae,Lethe anthedon,Northern Pearly-eye
Lepidoptera,Papilionoidea,Nymphalidae,Lethe appalachia,Appalachian Brown
Lepidoptera,Papilionoidea,Nymphalidae,Limenitis arthemis arthemis,American White Admiral
Lepidoptera,Noctuoidea,Noctuidae,Lithophane baileyi,Bailey's Pinion Moth
Lepidoptera,Papilionoidea,Hesperiidae,Lon hobomok,Hobomok Skipper
Lepidoptera,Noctuoidea,Erebidae,Lophocampa caryae,Hickory Tussock Moth
Lepidoptera,Papilionoidea,Lycaenidae,Lycaena phlaeas hypophlaeas,Eastern American Copper
Lepidoptera,Geometroidea,Geometridae,Macaria aemulataria,Common Angle
Lepidoptera,Geometroidea,Geometridae,Macaria pustularia,Lesser Maple Spanworm Moth
Lepidoptera,Noctuoidea,Noctuidae,Maliattha synochitis,Black-dotted Glyph
Lepidoptera,Bombycoidea,Sphingidae,Manduca sexta,Carolina Sphinx
Lepidoptera,Papilionoidea,Nymphalidae,Megisto cymela,Little Wood Satyr
Lepidoptera,Pyraloidea,Crambidae,Microcrambus biguttellus,Gold-striped Grass-veneer
Lepidoptera,Noctuoidea,Erebidae,Mycterophora inexplicata,Pale-edged Snout Moth
Lepidoptera,Geometroidea,Geometridae,Nematocampa resistaria,Horned Spanworm Moth
Lepidoptera,Noctuoidea,Noctuidae,Neoligia exhausta,Exhausted Brocade
Lepidoptera,Noctuoidea,Noctuidae,Noctua pronuba,Large Yellow Underwing
Lepidoptera,Papilionoidea,Nymphalidae,Nymphalis l-album,Compton Tortoiseshell
Lepidoptera,Noctuoidea,Noctuidae,Oligia strigilis,Marbled Minor
Lepidoptera,Noctuoidea,Erebidae,Panopoda rufimargo,Red-lined Panopoda Moth
Lepidoptera,Papilionoidea,Papilionidae,Papilio canadensis,Canadian Tiger Swallowtail
Lepidoptera,Papilionoidea,Papilionidae,Papilio polyxenes,Black Swallowtail
Lepidoptera,Tortricoidea,Tortricidae,Pelochrista derelicta,Derelict Pelochrista Moth
Lepidoptera,Papilionoidea,Nymphalidae,Phyciodes cocyta,Northern Crescent
Lepidoptera,Tortricoidea,Tortricidae,Platynota exasperatana,Exasperating Platynota Moth
Lepidoptera,Pyraloidea,Pyralidae,Pococera expandens,Striped Oak Webworm Moth
Lepidoptera,Noctuoidea,Noctuidae,Psectraglaea carnosa,Pink Sallow
Lepidoptera,Geometroidea,Geometridae,Rheumaptera prunivorata,Cherry Scallop Shell Moth
Lepidoptera,Papilionoidea,Lycaenidae,Satyrium liparops,Striped Hairstreak
Lepidoptera,Pyraloidea,Crambidae,Scoparia biplagialis,Double-striped Scoparia Moth
Lepidoptera,Gelechioidea,Gelechiidae,Scrobipalpula manierreorum,
Lepidoptera,Pyraloidea,Crambidae,Sitochroa palealis,Carrot Seed Moth
Lepidoptera,Tortricoidea,Tortricidae,Sparganothis tristriata,Three-streaked Sparganothis Moth
Lepidoptera,Papilionoidea,Nymphalidae,Speyeria cybele,Great Spangled Fritillary
Lepidoptera,Sphingoidea,Sphingidae,Sphinx poecila,Northern Apple Sphinx
Lepidoptera,Hepialoidea,Hepialidae,Sthenopis pretiosus,Gold-spotted Ghost Moth
Lepidoptera,Papilionoidea,Hesperiidae,Thymelicus lineola,Essex Skipper
Lepidoptera,Geometroidea,Geometridae,Xanthotype,Crocus Geometer Moths
Lepidoptera,Noctuoidea,Erebidae,Zanclognatha laevigata,Variable Fan-foot
Hymenoptera,Apoidea,Apidae,Bombus griseocollis,Brown-belted Bumble Bee
Hymenoptera,Apoidea,Apidae,Bombus impatiens,Common Eastern Bumble Bee
Hymenoptera,Apoidea,Apidae,Xylocopa virginica,Eastern Carpenter Bee
