Common name,Scientific name,Present 1900,Present modern
Rusty-patched bumble bee,Bombus affinis,yes,no
Ashton's cuckoo bumble bee,Bombus ashtoni,yes,no
Two-spotted bumble bee,Bombus bimaculatus,yes,yes
Northern amber bumble bee,Bombus borealis,yes,yes
Lemon cuckoo-bumble bee,Bombus citrinus,yes,no
Yellowish cuckoo-bumble bee,Bombus fervidus,yes,no
Confusing bumble bee,Bombus perplexus,yes,yes
Tri-colored bumble bee,Bombus ternarius,yes,yes
Yellow-banded bumble bee,Bombus terricola,yes,yes
Half-black bumble bee,Bombus vagans,yes,yes
Common eastern bumble bee,Bombus impatiens,no,yes
Sanderson's bumble bee,Bombus sandersoni,no,yes
Brown-belted bumble bee,Bombus griseocollis,no,yes
