common.name,scientific.name,frequency
American Kestrel,Falco sparverius,rare
American Oystercatcher,Haematopus palliatus,rare
Arctic Tern,Sterna paradisaea,rare
Atlantic Puffin,Fratercula arctica,rare
Baltimore Oriole,Icterus galbula,rare
Black-bellied Plover,Pluvialis squatarola,uncommon
Blackpoll Warbler,Setophaga striata,uncommon
Brown-headed Cowbird,Molothrus ater,rare
Canada Goose,Branta canadensis,common
Cape May Warbler,Setophaga tigrina,uncommon
Carolina Wren,Thryothorus ludovicianus,rare
Common Eider,Somateria mollissima,common
Common Grackle,Quiscalus quiscula,common
Common Merganser,Mergus merganser,common
Common Murre,Uria aalge,rare
Common Raven,Corvus corax,common
Cooper's Hawk,Accipiter cooperii,uncommon
Double-crested Cormorant,Nannopterum auritum,common
Eastern Towhee,Pipilo erythrophthalmus,common
Eastern Wood-Pewee,Contopus virens,common
European Starling,Sturnus vulgaris,uncommon
Field Sparrow,Spizella pusilla,rare
Gray Catbird,Dumetella carolinensis,common
Great Black-backed Gull,Larus marinus,common
Great Cormorant,Phalacrocorax carbo,uncommon
Great Crested Flycatcher,Myiarchus crinitus,uncommon
Great Egret,Ardea alba,uncommon
Great Shearwater,Ardenna gravis,rare
Green-winged Teal,Anas crecca,uncommon
Hooded Merganser,Lophodytes cucullatus,common
House Finch,Haemorhous mexicanus,common
House Sparrow,Passer domesticus,common
House Wren,Troglodytes aedon,rare
Killdeer,Charadrius vociferus,rare
Laughing Gull,Leucophaeus atricilla,common
Least Flycatcher,Empidonax minimus,uncommon
Lesser Black-backed Gull,Larus fuscus,rare
Lincoln's Sparrow,Melospiza lincolnii,rare
Mallard,Anas platyrhynchos,common
Merlin,Falco columbarius,common
Mourning Dove,Zenaida macroura,common
Nelson's Sparrow,Ammospiza nelsoni,common
Northern Cardinal,Cardinalis cardinalis,common
Northern Gannet,Morus bassanus,common
Northern Goshawk,Accipiter gentilis,rare
Northern Mockingbird,Mimus polyglottos,rare
Olive-sided Flycatcher,Contopus cooperi,rare
Palm Warbler,Setophaga palmarum,uncommon
Peregrine Falcon,Falco peregrinus,common
Philadelphia Vireo,Vireo philadelphicus,rare
Pileated Woodpecker,Dryocopus pileatus,common
Pine Warbler,Setophaga pinus,common
Razorbill,Alca torda,rare
Red-breasted Merganser,Mergus serrator,rare
Red-necked Grebe,Podiceps grisegena,uncommon
Red-necked Phalarope,Phalaropus lobatus,rare
Red-shouldered Hawk,Buteo lineatus,rare
Ring-billed Gull,Larus delawarensis,common
Rock Pigeon,Columba livia,common
Rose-breasted Grosbeak,Pheucticus ludovicianus,rare
Ruby-crowned Kinglet,Corthylio calendula,uncommon
Sanderling,Calidris alba,rare
Scarlet Tanager,Piranga olivacea,rare
Semipalmated Plover,Charadrius semipalmatus,common
Snowy Egret,Egretta thula,uncommon
Surf Scoter,Melanitta perspicillata,rare
Swamp Sparrow,Melospiza georgiana,common
Tennessee Warbler,Leiothlypis peregrina,uncommon
Tufted Titmouse,Baeolophus bicolor,uncommon
Turkey Vulture,Cathartes aura,common
Veery,Catharus fuscescens,uncommon
Warbling Vireo,Vireo gilvus,rare
Whimbrel,Numenius phaeopus,rare
White-breasted Nuthatch,Sitta carolinensis,common
White-rumped Sandpiper,Calidris fuscicollis,rare
White-winged Scoter,Melanitta deglandi,common
Wild Turkey,Meleagris gallopavo,common
Wilson's Storm-Petrel,Oceanites oceanicus,uncommon
Wood Duck,Aix sponsa,common
Wood Thrush,Hylocichla mustelina,common
Yellow-bellied Sapsucker,Sphyrapicus varius,uncommon
Yellow-billed Cuckoo,Coccyzus americanus,rare
